title,url,time,image_url,image_alt,summary
Akshay Kumar says history books needs to be corrected: ‘We read about Akbar or Aurangzeb but not about our own heroes’,https://indianexpress.com/article/entertainment/bollywood/akshay-kumar-says-history-books-needs-to-be-corrected-9794934/,"January 23, 2025 14:51 IST","https://images.indianexpress.com/2024/12/Akshay-Kumar-Copy.jpg?resize=450,254",Akshay Kumar,"Akshay Kumar made the statement ahead of the release of his film Sky Force, which is based on a true story. Akshay shared he takes up films about unsung heroes because they don't appear in history books."
Gautham Vasudev Menon admits he regrets making Dhanush-starrer Enai Noki Paayum Thota: ‘I’ve been joking about it because…’,https://indianexpress.com/article/entertainment/tamil/gautham-vasudev-menon-admits-regrets-making-dhanush-starrer-enai-noki-paayum-thota-joking-about-it-because-9793156/,"January 22, 2025 18:02 IST","https://images.indianexpress.com/2025/01/Director-Gautham-Vasudev-Menon-with-actor-Dhanush-on-the-sets-of-Enai-Noki-Paayum-Thota-22012025.jpg?resize=450,253","While he has repeatedly taken jabs at Enai Noki Paayum Thota, director Gautham Vasudev Menon recently went so far as to disown Dhanush-starrer altogether.","While he has repeatedly taken jabs at Enai Noki Paayum Thota, director Gautham Vasudev Menon recently went so far as to disown Dhanush-starrer altogether."
"Abhishek Bachchan on investing in Indian companies, admits he was ‘surprised’ by niece Navya’s return to home country: ‘Gone are the days we saw ourselves as inferior’",https://indianexpress.com/article/entertainment/bollywood/abhishek-bachchan-on-investing-in-indian-companies-admits-he-was-surprised-by-niece-navyas-return-to-home-country-gone-are-the-days-we-saw-ourselves-as-inferior-9790278/,"Updated: January 21, 2025  22:27 IST","https://images.indianexpress.com/2025/01/abhishek.jpg?resize=450,253",Abhishek Bachchan,Abhishek Bachchan shared insights into his approach to investing in companies and expressed enthusiasm for the Make in India initiative.
Pushpa 2 Worldwide Box Office Collection Day 48: Allu Arjun film nears Rs 1750 cr but won’t be able to surpass Aamir Khan’s Dangal,https://indianexpress.com/article/entertainment/telugu/pushpa-2-worldwide-box-office-collection-day-48-allu-arjun-film-nears-rs-1750-cr-but-wont-be-able-to-surpass-aamir-khans-dangal-9793614/,"Updated: January 22, 2025  19:56 IST","https://images.indianexpress.com/2025/01/Pushpa-2-worldwide-box-office-collection-day-31.jpg?resize=450,253",Pushpa 2 Box Office Collection 48,"Pushpa 2 Worldwide Box Office Collection Day 48: Allu Arjun's film mints Rs 50 lakhs on Tuesday, raking in Rs 1,229.40 crore in India."
Ravi Kishan says he saw Lord Shiva walking in the mountains in Manali after an all-night shoot: ‘I asked Manoj Bajpayee to see as well’,https://indianexpress.com/article/entertainment/bollywood/ravi-kishan-saw-lord-shiva-walking-in-the-mountains-in-manali-he-was-huge-9794644/,"January 23, 2025 12:55 IST","https://images.indianexpress.com/2025/01/ravi-kishan-1-1.jpg?resize=450,253",Ravi Kishan claims he saw Lord Shiva in Manali,Ravi Kishan claimed that he saw Lord Shiva walking in the mountains in Manali when he was shooting for 1971.
"3 families, 17 casualties and 200 contacts – at Jammu village in midst of ‘mystery deaths’, desperate times and desperate measures",https://indianexpress.com/article/india/jammu-baddal-village-rajouri-deaths-investigation-9795284/,"Updated: January 24, 2025  05:21 IST","https://images.indianexpress.com/2025/01/jammu-mystery-deaths.jpg?resize=450,253","Baddal village deaths investigation Jammu Kashmir, Rajouri village surveillance and containment measures","Since December, 17 people from three families at Baddal village in Rajouri have died, with authorities from J&K and the Centre scrambling to figure out why."
Retired bank manager in Pune loses Rs 2.22 crore in cyber scam after she purchases ‘insurance policies’,https://indianexpress.com/article/cities/pune/retired-bank-manager-cyber-scam-insurance-fraud-9793189/,"January 22, 2025 15:55 IST","https://images.indianexpress.com/2025/01/cyber-scam.jpg?resize=450,253","Pune cyber fraud, insurance scam, fraud investigation","The scammers called the woman under 19 identities and misused names like Deendayal Upadhyaya, a late leader of the Bharatiya Jana Sangh, to deceive the victim, the Pimpri Chinchwad police said."
Rifle Club: A mind-blowing metaphor for the Malayalam industry’s emergence as India’s boldest creative hub,https://indianexpress.com/article/entertainment/malayalam/rifle-club-anurag-kashyap-dileesh-pothan-metaphor-for-the-malayalam-industrys-envious-evolution-9792947/,"Updated: January 24, 2025  07:54 IST","https://images.indianexpress.com/2025/01/Post-credit-scenes-RIFLE-CLUB.jpg?resize=450,253",rifle club,"Post Credits Scene: Inspired by Westerns and '70s action cinema, Rifle Club is a metaphor for the Malayalam industry"
"Namita Thapar accuses Shark Tank India pitchers of creating ‘pura ka pura copy’ brand, Aman Gupta fears lawsuits: ‘I’m scared’",https://indianexpress.com/article/entertainment/television/shark-tank-india-4-aquapeya-pitch-namita-thapar-aman-gupta-9790512/,"Updated: January 21, 2025  22:24 IST","https://images.indianexpress.com/2025/01/shark-tank-india-22.jpg?resize=270,152",shark tank india 22,Shark Tank India 4: Peyush Bansal and Namita Thapar had a tense back-and-forth after Namita took offence at Peyush for not letting her speak during a pitch from a couple of Maharashtrian founders.
Remove encroachments or I’ll arrange bulldozers: Nitin Gadkari in Goa,https://indianexpress.com/article/india/remove-encroachments-or-ill-arrange-bulldozers-gadkari-in-goa-9792188/,"Updated: January 22, 2025  08:17 IST","https://images.indianexpress.com/2025/01/gadkari-2col.jpg?resize=450,253","Gadkari in Goa, Goa, Nitin Gadkari, Nitin Gadkari Panaji, Panaji, Indian express news, current affairs","Union Minister of Road Transport and Highways Nitin Gadkari laid the foundation stone for 6 national highway projects, stressed on need to identify dark spots and make the state accident-free"
"Sonu Nigam dismisses AR Rahman’s songs in Yuvvraaj, calls the album ‘bekaar’: ‘I won’t be able to praise a bad song’",https://indianexpress.com/article/entertainment/bollywood/sonu-nigam-ar-rahman-bekkar-album-yuvvraaj-salman-khan-9795127/,"January 23, 2025 16:46 IST","https://images.indianexpress.com/2024/11/rahman.jpg?resize=450,253",Sonu Nigam criticised AR Rahman's compositions for Yuvvraaj,Sonu Nigam criticised AR Rahman's work in Subhash Ghai's Yuvvraaj and said that it was a bad album.
"Shark Tank India pitcher panics as Aman Gupta asks a trick question, tells her, ‘I’m not here only to give money’",https://indianexpress.com/article/entertainment/television/shark-tank-india-4-kanvas-pitch-aman-gupta-anupam-mittal-9794426/,"January 23, 2025 11:00 IST","https://images.indianexpress.com/2025/01/shark-tank-india-27.jpg?resize=270,152",shark tank india 27,"Shark Tank India 4: Anupam Mittal and Aman Gupta's trick questions threw a young entrepreneur off, as she pitched her lifestyle brand on the latest episode of the reality show."
"‘Tumhara baap kaun hai’: Anupam Mittal gets mad at Ritesh Agarwal on Shark Tank India, defeats him in negotiations",https://indianexpress.com/article/entertainment/television/shark-tank-india-4-sneakinn-pitch-anupam-mittal-gets-mad-at-ritesh-agarwal-9792856/,"January 22, 2025 13:29 IST","https://images.indianexpress.com/2025/01/shark-tank-india-25.jpg?resize=270,152",shark tank india 25,"Shark Tank India 4: Anupam Mittal and Ritesh Agarwal made jibes at each other during the latest episode of the reality show, while Vineeta Singh rolled her eyes and Namita Thapar laughed."
"‘Next time, don’t ask for mothers’ votes…you have your sisters’: Barred from Ladki Bahin Yojana, waste workers in Pune lash out",https://indianexpress.com/article/cities/pune/barred-from-ladki-bahin-yojana-waste-workers-in-pune-lash-out-9792608/,"Updated: January 22, 2025  11:21 IST","https://images.indianexpress.com/2025/01/WhatsApp-Image-2025-01-22-at-10.33.13-AM.jpeg?resize=450,338",Abida Baswant (in green saree) and Annapurna Attkare (seated to her right) are among the many waste workers in Pune who cannot avail the Maharashtra government’s Ladki Bahin scheme because they have crossed the eligible age limit.,Elderly waste workers in Pune are questioning why the Maharashtra government has placed a cap of 65 years on its popular Mukhyamantri Majhi Ladki Bahin Yojana.
"Guillain-Barré Syndrome outbreak in Pune: It’s rare disease but treatable, so no need to panic, say doctors; list dos & don’ts",https://indianexpress.com/article/cities/pune/guillain-barre-syndrome-outbreak-dos-and-donts-9795099/,"Updated: January 23, 2025  19:24 IST","https://images.indianexpress.com/2025/01/health_2813bd.jpg?resize=450,253","Guillain-Barré Syndrome outbreak Pune, GBS treatment and prevention tips","67 people, mostly in the Sinhagad Road area of Pune, were diagnosed with the Guillain-Barré Syndrome, a rare neurological disorder."
ISRO shares before-and-after satellite images of Maha Kumbh Mela as seen from space,https://indianexpress.com/article/india/maha-kumbh-mela-isro-satellite-pics-9793681/,"Updated: January 22, 2025  22:23 IST","https://images.indianexpress.com/2025/01/Mahakumbh-2.jpg?resize=450,253",Maha kumbh Mela ISRO satellite images,Maha Kumbh Mela ISRO pictures: Several time series images showed the transformation of locations as Prayagraj geared up to accommodate millions of devotees and host one of the largest congregations in the world.
"Norovirus, campylobacter bacteria found in samples of persons with Guillain-Barré Syndrome",https://indianexpress.com/article/cities/pune/guillain-barre-syndrome-pune-9793647/,"Updated: January 23, 2025  22:53 IST","https://images.indianexpress.com/2025/01/digestion_1600_getty_1e4e71.jpg?resize=450,253",Guillain-Barré Syndrome autoimmune disorder,State health authorities on Thursday have said overall there were 67 cases of Guillain Barre Syndrome with 13 requiring ventilator support.
Salman Khan accepts Aamir Khan vowed to never work with him after Andaz Apna Apna: ‘Iske saath life mein kabhi kaam nahi karunga’,https://indianexpress.com/article/entertainment/bollywood/salman-khan-accepts-aamir-khan-vowed-to-never-work-with-him-after-andaz-apna-apna-iske-saath-life-mein-kabhi-kaam-nahi-karunga-9788074/,"Updated: January 21, 2025  22:28 IST","https://images.indianexpress.com/2025/01/aamir.jpeg?resize=450,253",Aamir Khan and Salman Khan,"Aamir Khan appeared as a special guest on the Bigg Boss 18 Grand Finale. During the show, Salman Khan shared an anecdote about Aamir Khan vowing never to work with him again."
